 4000,    1,   1180.2,      18.1,    1179.4,      18.1,    1175.9,      18.1
 5200,    2,   1484.5,      15.8,    1832.5,      12.8,    1284.6,      18.2
 6400,    4,   1595.8,      13.7,    1994.4,      11.0,    1196.8,      18.3
 8000,    8,   1880.2,      11.3,    2111.5,      10.1,    1176.0,      18.1
10200,   16,   2469.6,       9.0,    2301.6,       9.6,    1240.4,      17.8
12800,   32,   3333.3,       6.6,    2379.7,       9.2,    1274.2,      17.1
16000,   64,   4727.8,       4.5,    2461.9,       8.7,    1343.4,      15.9
17400,   80,   5535.4,       4.0,    2604.1,       8.4,    1472.7,      14.9
